chapter	chapter_title	unit	title	path	physical_pdf_pages	printed_pages	coverage	figures_tables_footnotes	status	uncertainties
2	Special Relativity	2.8	Energy-Momentum Tensor	latex/chapters/chapter02/sec28.tex	69--72	pp. 43--46	Section 2.8, Energy-Momentum Tensor; equations (2.8.1)--(2.8.14), including (2.8.5a).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.9	Spin	latex/chapters/chapter02/sec29.tex	72--73	pp. 46--47	Section 2.9, Spin; equations (2.9.1)--(2.9.8).	none.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.10	Relativistic Hydrodynamics	latex/chapters/chapter02/sec210.tex	73--78	pp. 47--52	Section 2.10, Relativistic Hydrodynamics; equations (2.10.1)--(2.10.33), including (2.10.17a).	no figures or tables; reference marker 4.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.11	Relativistic Imperfect Fluids	latex/chapters/chapter02/sec211.tex	79--83	pp. 53--57	Section 2.11, Relativistic Imperfect Fluids; equations (2.11.1)--(2.11.28).	optional-reading footnote; reference markers 5--10.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.12	Representations of the Lorentz Group	latex/chapters/chapter02/sec212.tex	84--87	pp. 58--61	Section 2.12, Representations of the Lorentz Group; equations (2.12.1)--(2.12.19).	optional-reading footnote; reference markers 11--12.	source-reviewed and compile-clean.	none.
2	Special Relativity	2.13	Temporal Order and Antiparticles	latex/chapters/chapter02/sec213.tex	87--89	pp. 61--63	Section 2.13, Temporal Order and Antiparticles; equations (2.13.1)--(2.13.2).	optional-reading footnote; reference marker 13.	source-reviewed and compile-clean.	none.
2	Special Relativity	backmatter	Chapter 2 back matter	latex/chapters/chapter02/backmatter.tex	89--90	pp. 63--64	Chapter 2 bibliography and references 1--13.	none.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	opening	Chapter 3 opening	latex/chapters/chapter03/introduction.tex	92	p. 67	Chapter 3 epigraph and opening overview.	none.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.1	Statement of the Principle	latex/chapters/chapter03/sec31.tex	92--95	pp. 67--70	Section 3.1, Statement of the Principle; equations (3.1.1)--(3.1.3).	none; reference marker 1.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.2	Gravitational Forces	latex/chapters/chapter03/sec32.tex	95--98	pp. 70--73	Section 3.2, Gravitational Forces; equations (3.2.1)--(3.2.14).	none.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.3	Relation Between \(g_{\mu\nu}\) and \(\Gamma^\lambda{}_{\mu\nu}\)	latex/chapters/chapter03/sec33.tex	98--102	pp. 73--77	Section 3.3, Relation Between g_{\mu\nu} and \Gamma^\lambda{}_{\mu\nu}; equations (3.3.1)--(3.3.10).	none.	source-reviewed and compile-clean.	source description after Eq. (3.3.10) calls the proper-time extremum ``usually a minimum''; retained verbatim.
3	The Principle of Equivalence	3.4	The Newtonian Limit	latex/chapters/chapter03/sec34.tex	102--104	pp. 77--79	Section 3.4, The Newtonian Limit; equations (3.4.1)--(3.4.5).	none.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.5	Time Dilation	latex/chapters/chapter03/sec35.tex	104--110	pp. 79--85	Section 3.5, Time Dilation; equations (3.5.1)--(3.5.6).	none; reference markers 2--8a and 13.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.6	Signs of the Times	latex/chapters/chapter03/sec36.tex	110--111	pp. 85--86	Section 3.6, Signs of the Times; equations (3.6.1)--(3.6.4).	none; reference marker 9.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	3.7	Relativity and Anisotropy of Inertia	latex/chapters/chapter03/sec37.tex	111--113	pp. 86--88	Section 3.7, Relativity and Anisotropy of Inertia.	Figure 3.1; reference markers 10--12.	source-reviewed and compile-clean.	none.
3	The Principle of Equivalence	backmatter	Chapter 3 back matter	latex/chapters/chapter03/backmatter.tex	113--115	pp. 88--90	Chapter 3 bibliography and references 1--13, including 5a and 8a.	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	opening	Chapter 4 opening	latex/chapters/chapter04/introduction.tex	116	p. 91	Chapter 4 epigraph and opening paragraph, ending before Section 4.1.	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.1	The Principle of General Covariance	latex/chapters/chapter04/sec41.tex	116--118	pp. 91--93	Section 4.1, The Principle of General Covariance; no numbered equations.	four linked reference markers; no figures or tables.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.2	Vectors and Tensors	latex/chapters/chapter04/sec42.tex	118--121	pp. 93--96	Section 4.2, Vectors and Tensors; equations (4.2.1)--(4.2.8).	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.3	Tensor Algebra	latex/chapters/chapter04/sec43.tex	121--123	pp. 96--98	Section 4.3, Tensor Algebra; no numbered equations.	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.4	Tensor Densities	latex/chapters/chapter04/sec44.tex	123--125	pp. 98--100	Section 4.4, Tensor Densities; equations (4.4.1)--(4.4.11).	one linked reference marker; no figures or tables.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.5	Transformation of the Affine Connection	latex/chapters/chapter04/sec45.tex	125--128	pp. 100--103	Section 4.5, Transformation of the Affine Connection; equations (4.5.1)--(4.5.11).	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.6	Covariant Differentiation	latex/chapters/chapter04/sec46.tex	128--131	pp. 103--106	Section 4.6, Covariant Differentiation; equations (4.6.1)--(4.6.19).	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.7	Gradient, Curl, and Divergence	latex/chapters/chapter04/sec47.tex	131--133	pp. 106--108	Section 4.7, Gradient, Curl, and Divergence; equations (4.7.1)--(4.7.11).	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.8	Vector Analysis in Orthogonal Coordinates	latex/chapters/chapter04/sec48.tex	133--135	pp. 108--110	Section 4.8, Vector Analysis in Orthogonal Coordinates; equations (4.8.1)--(4.8.12).	optional-reading source note; no figures or tables.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.9	Covariant Differentiation Along a Curve	latex/chapters/chapter04/sec49.tex	135--136	pp. 110--111	Section 4.9, Covariant Differentiation Along a Curve; equations (4.9.1)--(4.9.11).	none.	source-reviewed and compile-clean.	none.
4	Tensor Analysis	4.10	The Electromagnetic Analogy	latex/chapters/chapter04/sec410.tex	136--138	pp. 111--113	Section 4.10, The Electromagnetic Analogy; equations (4.10.1)--(4.10.5).	optional-reading source note; no figures or tables.	source-reviewed and compile-clean.	Eq. (4.10.5) prints +m^2 despite the preceding -m^2; the divergence derivation drops an overall -ie. Both are corrected as SOURCE ERRATA below.
4	Tensor Analysis	4.11	\(p\)-Forms and Exterior Derivatives	latex/chapters/chapter04/sec411.tex	138--144	pp. 113--119	Section 4.11, p-Forms and Exterior Derivatives; equations (4.11.1)--(4.11.19).	one optional-reading source note and one linked reference marker; no figures or tables.	source-reviewed and compile-clean.	no unresolved readings; deliberate exterior-calculus normalization conversions are documented inline.
4	Tensor Analysis	backmatter	Chapter 4 back matter	latex/chapters/chapter04/backmatter.tex	144--145	pp. 119--120	Chapter 4 References 1--7, including 1a.	none.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	opening	Chapter 5 opening	latex/chapters/chapter05/introduction.tex	146	p. 121	Chapter 5 epigraph and opening paragraph, ending before Section 5.1.	none.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	5.1	Particle Mechanics	latex/chapters/chapter05/sec51.tex	146--149	pp. 121--124	Section 5.1, Particle Mechanics; equations (5.1.1)--(5.1.14).	no figures or tables; reference markers 1 and 2.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	5.2	Electrodynamics	latex/chapters/chapter05/sec52.tex	149--151	pp. 124--126	Section 5.2, Electrodynamics; equations (5.2.1)--(5.2.14).	none.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	5.3	Energy-Momentum Tensor	latex/chapters/chapter05/sec53.tex	151--152	pp. 126--127	Section 5.3, Energy-Momentum Tensor; equations (5.3.1)--(5.3.9).	none.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	5.4	Hydrodynamics and Hydrostatics	latex/chapters/chapter05/sec54.tex	152--154	pp. 127--129	Section 5.4, Hydrodynamics and Hydrostatics; equations (5.4.1)--(5.4.10).	none.	source-reviewed and compile-clean.	none.
5	Effects of Gravitation	backmatter	Chapter 5 back matter	latex/chapters/chapter05/backmatter.tex	154	p. 129	Chapter 5 References 1--2.	none.	source-reviewed and compile-clean.	physical PDF p. 155 is a duplicate, cropped scan of printed p. 128; it contains no unique Chapter 5 material.
6	Curvature	opening	Chapter 6 opening	latex/chapters/chapter06/introduction.tex	156	p. 131	Chapter 6 epigraph and opening overview.	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.1	Definition of the Curvature Tensor	latex/chapters/chapter06/sec61.tex	156--158	pp. 131--133	Section 6.1, Definition of the Curvature Tensor; equations (6.1.1)--(6.1.7).	none.	source-reviewed and compile-clean.	none. MODERNIZATION: Weinberg's curvature tensor is the negative of the target convention at fixed slot order. Equations below use the binding convention in NOTATION.md, with induced signs and last-index ordering rederived.
6	Curvature	6.2	Uniqueness of the Curvature Tensor	latex/chapters/chapter06/sec62.tex	158--160	pp. 133--135	Section 6.2, Uniqueness of the Curvature Tensor; equations (6.2.1)--(6.2.5).	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.3	Round Trips by Parallel Transport	latex/chapters/chapter06/sec63.tex	160--163	pp. 135--138	Section 6.3, Round Trips by Parallel Transport; equations (6.3.1)--(6.3.11).	one linked reference marker; no figures or tables.	source-reviewed and compile-clean.	none.
6	Curvature	6.4	Gravitation versus Curvilinear Coordinates	latex/chapters/chapter06/sec64.tex	163--165	pp. 138--140	Section 6.4, Gravitation versus Curvilinear Coordinates; equations (6.4.1)--(6.4.10).	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.5	Commutation of Covariant Derivatives	latex/chapters/chapter06/sec65.tex	165	p. 140	Section 6.5, Commutation of Covariant Derivatives; equations (6.5.1)--(6.5.3).	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.6	Algebraic Properties of \(R^\rho{}_{\sigma\mu\nu}\)	latex/chapters/chapter06/sec66.tex	166--167	pp. 141--142	Section 6.6, Algebraic Properties of \(R^\rho{}_{\sigma\mu\nu}\); equations (6.6.1)--(6.6.7).	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.7	Description of Curvature in \(N\) Dimensions	latex/chapters/chapter06/sec67.tex	167--171	pp. 142--146	Section 6.7, Description of Curvature in \(N\) Dimensions; equations (6.7.1)--(6.7.7).	optional-reading footnote; linked references 2--4; no figures or tables.	source-reviewed and compile-clean.	none.
6	Curvature	6.8	The Bianchi Identities	latex/chapters/chapter06/sec68.tex	171--172	pp. 146--147	Section 6.8, The Bianchi Identities; equations (6.8.1)--(6.8.4).	none.	source-reviewed and compile-clean.	none.
6	Curvature	6.9	The Geometric Analogy	latex/chapters/chapter06/sec69.tex	172--173	pp. 147--148	Section 6.9, The Geometric Analogy; equation (6.9.1).	optional-reading footnote; no figures or tables.	source-reviewed and compile-clean.	none.
6	Curvature	6.10	Geodesic Deviation	latex/chapters/chapter06/sec610.tex	173--174	pp. 148--149	Section 6.10, Geodesic Deviation; equation (6.10.1).	optional-reading footnote; no figures or tables.	source-reviewed and compile-clean.	none.
6	Curvature	backmatter	Chapter 6 back matter	latex/chapters/chapter06/backmatter.tex	174	p. 149	Chapter 6 bibliography and references 1--5.	none.	source-reviewed and compile-clean.	none.
7	Einstein's Field Equations	opening	Chapter 7 opening	latex/chapters/chapter07/introduction.tex	175	p. 151	Chapter 7 epigraph and opening overview.	none.	source-reviewed and compile-clean.	none.
7	Einstein's Field Equations	7.1	Derivation of the Field Equations	latex/chapters/chapter07/sec71.tex	175--179	pp. 151--155	Section 7.1, Derivation of the Field Equations; equations (7.1.1)--(7.1.16).	reference marker 1; no figures or tables.	source-reviewed and compile-clean.	none. MODERNIZATION: The source curvature convention is the negative of the binding convention at fixed slot order. The weak-field signs, trace, and cosmological-constant equation have therefore been rederived for G_{\mu\nu}+\Lambda g_{\mu\nu}=8\pi G T_{\mu\nu}.
7	Einstein's Field Equations	7.2	Another Derivation	latex/chapters/chapter07/sec72.tex	179--181	pp. 155--157	Section 7.2, Another Derivation; equations (7.2.1)--(7.2.8).	optional-reading source note; no figures or tables.	source-reviewed and compile-clean.	none. MODERNIZATION: With the target curvature and Einstein-equation signs, Newton's limit fixes a_1=b_1=-1/2 rather than the source +1/2. Equation (7.2.6) is correspondingly the negative of the source display.
7	Einstein's Field Equations	7.3	The Brans-Dicke Theory	latex/chapters/chapter07/sec73.tex	181--184	pp. 157--160	Section 7.3, The Brans-Dicke Theory; equations (7.3.1)--(7.3.15).	reference marker 2; no figures or tables.	source-reviewed and compile-clean.	none. MODERNIZATION: Curvature-dependent displays and their divergence derivation are converted to the target curvature convention and +8\pi/\phi source sign. Comma/semicolon notation is replaced by partial/nabla operators.
7	Einstein's Field Equations	7.4	Coordinate Conditions	latex/chapters/chapter07/sec74.tex	185--187	pp. 161--163	Section 7.4, Coordinate Conditions; equations (7.4.1)--(7.4.9).	none.	source-reviewed and compile-clean.	none.
7	Einstein's Field Equations	7.5	The Cauchy Problem	latex/chapters/chapter07/sec75.tex	187--189	pp. 163--165	Section 7.5, The Cauchy Problem; equations (7.5.1)--(7.5.3).	none.	source-reviewed and compile-clean.	none. MODERNIZATION: Einstein-equation and constraint-propagation signs follow the target G_{\mu\nu}=+8\pi G T_{\mu\nu} convention.
7	Einstein's Field Equations	7.6	Energy, Momentum, and Angular Momentum of Gravitation	latex/chapters/chapter07/sec76.tex	189--195	pp. 165--171	Section 7.6, Energy, Momentum, and Angular Momentum of Gravitation; equations (7.6.1)--(7.6.27).	no figures or tables; reference markers 2a--6.	source-reviewed and compile-clean.	convention-sensitive signs were checked explicitly at Q^{\rho\nu\lambda} and against the asymptotically Schwarzschild mass. MODERNIZATION: Curvature signs, the linearized Einstein equation, and the superpotential have been converted consistently to the target conventions; the asymptotic coordinate-shift vector is \xi^\mu rather than the source displacement symbol, avoiding collision with Levi-Civita notation.
7	Einstein's Field Equations	backmatter	Chapter 7 back matter	latex/chapters/chapter07/backmatter.tex	195--196	pp. 171--172	Chapter 7 bibliography and references 1--6, including 2a.	none.	source-reviewed and compile-clean.	none.
8	Classic Tests of Einstein's Theory	opening	Chapter 8 opening	latex/chapters/chapter08/introduction.tex	198	p. 175	Chapter 8 epigraph and opening overview.	none.	source-reviewed and compile-clean.	none.
8	Classic Tests of Einstein's Theory	8.1	The General Static Isotropic Metric	latex/chapters/chapter08/sec81.tex	198--202	pp. 175--179	Section 8.1, The General Static Isotropic Metric; equations (8.1.1)--(8.1.16).	none.	source-reviewed and compile-clean.	source Ricci convention in (8.1.12)--(8.1.13) converted to the binding curvature convention and checked componentwise; source (8.1.10) omits \(dt\) from its stated invariant volume element, preserved and marked VERIFY SOURCE below.
8	Classic Tests of Einstein's Theory	8.2	The Schwarzschild Solution	latex/chapters/chapter08/sec82.tex	202--205	pp. 179--182	Section 8.2, The Schwarzschild Solution; equations (8.2.1)--(8.2.16).	none.	source-reviewed and compile-clean.	Ricci signs in (8.2.3), (8.2.7), and (8.2.8) converted consistently with the binding curvature convention.
8	Classic Tests of Einstein's Theory	8.3	Other Metrics	latex/chapters/chapter08/sec83.tex	205--208	pp. 182--185	Section 8.3, Other Metrics; equations (8.3.1)--(8.3.9).	reference marker 1.	source-reviewed and compile-clean.	none.
8	Classic Tests of Einstein's Theory	8.4	General Equations of Motion	latex/chapters/chapter08/sec84.tex	208--211	pp. 185--188	Section 8.4, General Equations of Motion; equations (8.4.1)--(8.4.30).	none.	source-reviewed and compile-clean.	Weinberg's trajectory parameter p is modernized to the conventional affine parameter lambda throughout.
8	Classic Tests of Einstein's Theory	8.5	Unbound Orbits: Deflection of Light by the Sun	latex/chapters/chapter08/sec85.tex	211--217	pp. 188--194	Section 8.5, Unbound Orbits: Deflection of Light by the Sun; equations (8.5.1)--(8.5.12), Figures 8.1, Tables 8.1--8.2.	Figure 8.1; Tables 8.1 and 8.2 with source notes; reference markers 2--4.	source-reviewed and compile-clean.	the source prose and Table 8.1 give different uncertainty estimates for the two 1919 eclipse expeditions; both are preserved and marked VERIFY SOURCE below.
8	Classic Tests of Einstein's Theory	8.6	Bound Orbits: Precession of Perihelia	latex/chapters/chapter08/sec86.tex	217--224	pp. 194--201	Section 8.6, Bound Orbits: Precession of Perihelia; equations (8.6.1)--(8.6.13), Figure 8.2, Table 8.3.	Figure 8.2; Table 8.3; reference markers 5--12.	source-reviewed and compile-clean.	"SOURCE ERRATUM -- the scan says ""Table 8.2"" where the data are in Table 8.3; the reference is corrected below."
8	Classic Tests of Einstein's Theory	8.7	Radar Echo Delay	latex/chapters/chapter08/sec87.tex	224--230	pp. 201--207	Section 8.7, Radar Echo Delay; equations (8.7.1)--(8.7.17) and Figure 8.3.	Figure 8.3; reference markers 13--19.	source-reviewed and compile-clean.	the source spells Doppler with an umlaut in both occurrences; the historical spelling is preserved and marked below.
8	Classic Tests of Einstein's Theory	8.8	The Schwarzschild Singularity	latex/chapters/chapter08/sec88.tex	230--231	pp. 207--208	Section 8.8, The Schwarzschild Singularity; equations (8.8.1)--(8.8.3).	one optional-reading footnote; reference marker 20.	source-reviewed and compile-clean.	Eq. (8.8.3) is converted from the source's time-positive local coordinate ordering to the target (-+++) convention; see MODERNIZATION CHECK below.
8	Classic Tests of Einstein's Theory	backmatter	Chapter 8 back matter	latex/chapters/chapter08/backmatter.tex	232--233	pp. 209--210	Chapter 8 bibliography and references 1--20.	none.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	opening	Chapter 9 opening	latex/chapters/chapter09/introduction.tex	234--235	pp. 211--212	Chapter 9 epigraph and opening overview.	reference marker 1; no figures or tables.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	9.1	The Post-Newtonian Approximation	latex/chapters/chapter09/sec91.tex	235--243	pp. 212--220	Section 9.1, The Post-Newtonian Approximation; equations (9.1.1)--(9.1.75).	no figures or tables.	source-reviewed and compile-clean.	Weinberg's stacked perturbative-order numerals are rendered as parenthesized superscripts; curvature-sign conversion is documented immediately below and has been checked against the target Newtonian limit. MODERNIZATION CHECK: Weinberg prints perturbative order as a numeral over the tensor symbol.  We use a parenthesized superscript, e.g. g_{\mu\nu}^{(N)}.  This is an order label, not a tensor index or power. MODERNIZATION CHECK: Equations (9.1.26)--(9.1.41) use the target curvature convention.  Thus every displayed Ricci component is the negative of the source expression at fixed slots, while the trace-reversed field equation has +8 pi G rather than the source's -8 pi G.  The metric solutions (9.1.53)--(9.1.75) are consequently unchanged.
9	Post-Newtonian Celestial Mechanics	9.2	Particle and Photon Dynamics	latex/chapters/chapter09/sec92.tex	243--245	pp. 220--222	Section 9.2, Particle and Photon Dynamics; equations (9.2.1)--(9.2.7).	no figures or tables.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	9.3	The Energy-Momentum Tensor	latex/chapters/chapter09/sec93.tex	245--248	pp. 222--225	Section 9.3, The Energy-Momentum Tensor; equations (9.3.1)--(9.3.12).	reference marker 1; no figures or tables.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	9.4	Multipole Fields	latex/chapters/chapter09/sec94.tex	248--252	pp. 225--229	Section 9.4, Multipole Fields; equations (9.4.1)--(9.4.36).	no figures or tables.	source-reviewed and compile-clean.	Weinberg's stacked perturbative-order numerals are rendered as parenthesized superscripts.  The source prints d^4x' in (9.4.29) and the first line of (9.4.33); these are corrected to the spatial volume element d^3x', as required by the immediately following angular/radial reduction.
9	Post-Newtonian Celestial Mechanics	9.5	Precession of Perihelia	latex/chapters/chapter09/sec95.tex	253--256	pp. 230--233	Section 9.5, Precession of Perihelia; equations (9.5.1)--(9.5.22).	reference marker 1; no figures or tables.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	9.6	Precession of Orbiting Gyroscopes	latex/chapters/chapter09/sec96.tex	256--261	pp. 233--238	Section 9.6, Precession of Orbiting Gyroscopes; equations (9.6.1)--(9.6.24).	reference markers 2--7; no figures or tables.	source-reviewed and compile-clean.	(9.6.1) augments the source's coordinate equation with its equivalent D/Dtau form; perturbative orders use parenthesized superscripts. MODERNIZATION CHECK: Equation (9.6.1) displays the covariant worldline derivative requested for this edition and retains Weinberg's coordinate form as an explicit equivalent.  Perturbative-order numerals are rendered as parenthesized superscripts, consistently with Section 9.1.
9	Post-Newtonian Celestial Mechanics	9.7	Spin Precession and Mach's Principle	latex/chapters/chapter09/sec97.tex	262--264	pp. 239--241	Section 9.7, Spin Precession and Mach's Principle; no numbered equations.	optional-reading footnote; reference markers 8--10; no figures or tables.	source-reviewed and compile-clean.	none.
9	Post-Newtonian Celestial Mechanics	9.8	Post-Newtonian Hydrodynamics	latex/chapters/chapter09/sec98.tex	264--267	pp. 241--244	Section 9.8, Post-Newtonian Hydrodynamics; equations (9.8.1)--(9.8.18).	optional-reading footnote; reference marker 11; no figures or tables.	source-reviewed and compile-clean.	the final coefficient in the source's (9.8.13), repeated on the left of (9.8.15), reads phi v^2. Dimensional consistency and direct expansion of (9.8.1)--(9.8.3) require rho v^2; this evident source typo is corrected. The source also prints 1-v^2-2phi in (9.8.14), whereas (9.8.11) and the stated sum of (9.3.2) and (9.3.4) require 1+v^2-2phi; that sign is corrected as well. MODERNIZATION CHECK: Divergences of momentum-flux dyadics are written with an explicit tensor product. Perturbative-order numerals are rendered as parenthesized superscripts.
9	Post-Newtonian Celestial Mechanics	9.9	Approximate Solutions to the Brans-Dicke Theory	latex/chapters/chapter09/sec99.tex	267--271	pp. 244--248	Section 9.9, Approximate Solutions to the Brans--Dicke Theory; equations (9.9.1)--(9.9.29).	no figures, tables, footnotes, or reference markers.	source-reviewed and compile-clean.	the Brans--Dicke scalar is renamed Phi_BD before reparametrization; (9.9.3)--(9.9.4) are converted to the target curvature sign; perturbative orders use parenthesized superscripts. MODERNIZATION CHECK: The Brans--Dicke scalar is denoted Phi_BD before its reparametrization, avoiding a collision with the Newtonian potential phi. Covariant derivatives use nabla and Box. Perturbative-order numerals are rendered as parenthesized superscripts. MODERNIZATION CHECK: Equations (9.9.3) and (9.9.4) use the target curvature convention, so both sides are the negatives of the source equations. The component field equations (9.9.7)--(9.9.10) and all resulting metric solutions are consequently unchanged.
9	Post-Newtonian Celestial Mechanics	backmatter	Chapter 9 back matter	latex/chapters/chapter09/backmatter.tex	271--272	pp. 248--249	Chapter 9 bibliography and references 1--11.	none.	source-reviewed and compile-clean.	none.
10	Gravitational Radiation	opening	Chapter 10 opening	latex/chapters/chapter10/introduction.tex	273--274	pp. 251--252	Chapter 10 opening material before Section 10.1.	chapter epigraph; no figures or tables.	source-reviewed and compile-clean.	none.
10	Gravitational Radiation	10.1	The Weak-Field Approximation	latex/chapters/chapter10/sec101.tex	274--277	pp. 252--255	Section 10.1, The Weak-Field Approximation; equations (10.1.1)--(10.1.14).	none.	source-reviewed and compile-clean.	none. MODERNIZATION: Equations (10.1.2) and the unnumbered contracted Bianchi identity use the target curvature sign convention. Gauge displacements are denoted xi, the d'Alembertian is Box rather than Weinberg's square-squared glyph, and repeated coordinate derivatives are written compactly.
